url,title,sitemap_index
https://mpr.gov.ba/bs,Ministarstvo pravde Bosne i Hercegovine,4
https://mpr.gov.ba/bs/meni/menu_cmk0hrq1d001ak03uyqviovsa,Ministarstvo,10
https://mpr.gov.ba/bs/meni/menu_cmk0hsi9h001gk03ueg0penph,Oblasti rada,11
https://mpr.gov.ba/bs/meni/menu_cmk0ht82s001mk03ufuzhvi6h,Zakoni/Ugovori,12
https://mpr.gov.ba/bs/nadleznosti,Nadležnosti,19
https://mpr.gov.ba/bs/meni/menu_cmk0uv1vs000ags3u4emdd3kp,Organizacija i kontakti,20
https://mpr.gov.ba/bs/ministar-pravde-bih,Ministar pravde BiH,21
https://mpr.gov.ba/bs/zamjenik-ministra-pravde-bih,Zamjenik ministra pravde BiH,22
https://mpr.gov.ba/bs/sekretar-ministarstva-pravde-bih,Sekretar Ministarstva pravde BiH,23
https://mpr.gov.ba/bs/ured-interne-revizije,Ured interne revizije,24
https://mpr.gov.ba/bs/sektor-za-kadrovske-opste-i-finansijsko-materijalne-poslove,"Sektor za kadrovske, opšte i finansijsko-materijalne poslove",25
https://mpr.gov.ba/bs/sektor-za-pravosudne-organe,Sektor za pravosudne organe,26
https://mpr.gov.ba/bs/sektor-za-izvrsenje-krivicnih-sankcija-i-rad-kaznene-ustanove,Sektor za izvršenje krivičnih sankcija i rad kaznene ustanove,27
https://mpr.gov.ba/bs/sektor-za-medjunarodnu-i-medjuentitetsku-pravnu-pomoc-i-saradnju,Sektor za međunarodnu i međuentitetsku pravnu pomoć i saradnju,28
https://mpr.gov.ba/bs/sektor-za-upravu,Sektor za upravu,29
https://mpr.gov.ba/bs/upravni-inspektorat,Upravni inspektorat,30
https://mpr.gov.ba/bs/sektor-za-strateska-planiranja-koordinaciju-pomoci-i-evropske-integracije,"Sektor za strateška planiranja, koordinaciju pomoći i evropske integracije",31
https://mpr.gov.ba/bs/pritvorska-jedinica-zavoda-za-izvrsenje-krivicnih-sankcija,Pritvorska jedinica Zavoda za izvršenje krivičnih sankcija,32
