source_url,title,category,subsection,priority,source,document_type,text,text_length,keep,hash
https://mpr.gov.ba/bs,Ministarstvo pravde Bosne i Hercegovine,ostalo,,normal,sitemap,html,"Vijesti Vijesti Ministar pravde BiH Davor Bunoza održao sastanak s glavnim tajnikom Vijeća Europe Alainom Bersetom 28.04.2026 Vijesti Tajnik Ministarstva pravde Bosne i Hercegovine Željko Bogut sudjelovao na 9. sastanku Pododbora za pravdu, slobodu i sigurnost 24.02.2026 Vijesti Konstruktivan razgovor ministara pravde o prioritetnim zakonima uz poruku suradnje i međusobnog uvažavanja 20.02.2026",397,True,9e4c3be025b2529897604faa27917ca4
https://mpr.gov.ba/bs/meni/menu_cmk0hrq1d001ak03uyqviovsa,Ministarstvo,ostalo,,normal,sitemap,html,Hrvatski Bosanski Српски English BS Ministarstvo pravde Bosne i Hercegovine Ministarstvo pravde Bosne i Hercegovine Hrvatski Bosanski Српски English BS Ministarstvo Oblasti rada Zakoni/Ugovori Projekti/Strategije Publikacije/Priručnici Tenderi/Javni oglasi Info/Pristup informacijama Početna | Ministarstvo Ministarstvo Nadležnosti Organizacija i kontakti Interno Program rada Ministarstva pravde Bosne i Hercegovine Izvještaj o radu Ministarstva pravde Bosne i Hercegovine Godišnji izvještaj o izvršenju budžeta,512,True,501df92de644e9abe90d2eb6a82c25bf
https://mpr.gov.ba/bs/meni/menu_cmk0hsi9h001gk03ueg0penph,Oblasti rada,ostalo,,normal,sitemap,html,"Hrvatski Bosanski Српски English BS Ministarstvo pravde Bosne i Hercegovine Ministarstvo pravde Bosne i Hercegovine Hrvatski Bosanski Српски English BS Ministarstvo Oblasti rada Zakoni/Ugovori Projekti/Strategije Publikacije/Priručnici Tenderi/Javni oglasi Info/Pristup informacijama Početna | Oblasti rada Oblasti rada Pravosuđe Izvršenje krivičnih sankcija Međunarodna pravna pomoć i saradnja Uprava Upravna inspekcija Strateška planiranja, koordinacija pomoći i evropske integracije Civilno društvo Besplatna pravna pomoć",524,True,201920fdc0293182071d6fae45a56e22
https://mpr.gov.ba/bs/meni/menu_cmk0ht82s001mk03ufuzhvi6h,Zakoni/Ugovori,ostalo,zakoni,normal,sitemap,html,Hrvatski Bosanski Српски English BS Ministarstvo pravde Bosne i Hercegovine Ministarstvo pravde Bosne i Hercegovine Hrvatski Bosanski Српски English BS Ministarstvo Oblasti rada Zakoni/Ugovori Projekti/Strategije Publikacije/Priručnici Tenderi/Javni oglasi Info/Pristup informacijama Početna | Zakoni/Ugovori Zakoni/Ugovori Zakoni i drugi propisi Međunarodni ugovori i konvencije Javne konsultacije Jedinstvena pravila za izradu pravnih propisa u institucijama BiH,464,True,8f0c641900e10847d36c4a21a7854693
https://mpr.gov.ba/bs/nadleznosti,Nadležnosti,kontakt_i_nadleznosti,,normal,sitemap,html,"Nadležnosti Ministarstvo pravde je osnovano 2003.godine, Zakonom o ministarstvima i drugim organima uprave Bosne i Hercegovine (""Sl.glasnik BiH“, br.5/2003), i nadležno je za administrativne funkcije vezano za pravosudne organe na državnom nivou; međunarodnu i međuentitetsku pravosudnu saradnju (međusobna pravna pomoć i kontakti sa međunarodnim tribunalima); izradu odgovarajućih zakona i propisa za uređenje pitanja iz alineje 1. i 2. ovog člana; obezbjeđivanje da zakonodavstvo BiH i njegova provedba na svim nivoima budu u skladu sa obavezama BiH koje proizilaze iz međunarodnih sporazuma; saradnju sa Ministarstvom vanjskih poslova i entitetima na izradi međunarodnih bilateralnih i multilateralnih sporazuma; davanje smjernica i praćenje pravnog obrazovanja, kako bi se obezbijedila međuentitetska harmonizacija u ovoj oblasti i postupanje u skladu sa najboljim standardima; općenito djelovanje kao centralno koordinirajući organ za obezbjeđivanje usklađenosti zakonodavstva i standarda pravosudnog sistema među entitetima, bilo obezbjeđenjem uslova za raspravu ili koordiniranjem inicijativa; ekstradiciju; poslove upravne inspekcije nad izvršavanjem zakona koji se odnose na državne službenike i zaposlene organa uprave, upravni postupak i posebne upravne postupke i kancelarijsko poslovanje u organima uprave; pitanja udruženja građana, vođenje registara udruženja građana i nevladinih organizacija koje djeluju na teritoriji BiH; druge poslove i zadatke koji nisu u nadležnosti drugih ministarstava BiH, a srodni su poslovima iz nadležnosti ovog ministarstva.",1570,True,3fd4b480e789a35a58136bc6e183d722
https://mpr.gov.ba/bs/meni/menu_cmk0uv1vs000ags3u4emdd3kp,Organizacija i kontakti,registri,,normal,sitemap,html,"Organizacija i kontakti - Ministar pravde BiH - Zamjenik ministra pravde BiH - Sekretar Ministarstva pravde BiH - Ured interne revizije - Sektor za kadrovske, opšte i finansijsko-materijalne poslove - Sektor za pravosudne organe - Sektor za izvršenje krivičnih sankcija i rad kaznene ustanove - Sektor za međunarodnu i međuentitetsku pravnu pomoć i saradnju - Sektor za upravu - Upravni inspektorat - Sektor za strateška planiranja, koordinaciju pomoći i evropske integracije - Pritvorska jedinica Zavoda za izvršenje krivičnih sankcija - Sektor za pravnu pomoć i razvoj civilnog društva - Sektor za krivičnu pomoć i edukaciju u krivičnim stvarima pred Sudom BiH - Ured za registar zaloga i informatizaciju - Odjeljenje sudske policije - Ured za pružanje besplatne pravne pomoći - Žalbeno vijeće pri Vijeću Ministara Bosne i Hercegovine",836,True,2a54e1171f292543a9bdc08d259ec3dd
https://mpr.gov.ba/bs/ministar-pravde-bih,Ministar pravde BiH,ostalo,,normal,sitemap,html,"Ministar pravde BiH Davor Bunoza, diplomirani pravnik Kontakt Adresa: Trg BiH 1, Sarajevo 71000, Bosna i Hercegovina Telefon: +387 33 281 633 Fax: +387 33 223 504 E-mail: ured.ministra@mpr.gov.ba Osobne informacije Rođen 03.04.1980. godine u Mostaru Zvanje: diplomirani pravnik Oženjen, otac jednog djeteta Radno iskustvo 2023. - ministar pravde Bosne i Hercegovine 2015. - 2023. odvjetnik - partner u Zajedničkom odvjetničkom uredu u Mostaru 2011. - 2015. odvjetnik u Odvjetničkom uredu ""Davor Bunoza"" 2007. - 2011. pravnik u Udruzi ""Vaša prava BiH"" 2006. - 2007. vježbenik u Zajedničkom odvjetničkom uredu ""Sesar - Ćurić - Miletić"" Obrazovanje i osposobljavanje 2011. godine: Odvjetnički ispit 2008. godine: Pravosudni ispit 2005. godine: Diplomirani pravnik, Pravni fakultet Sveučulišta u Mostaru Publikacije D. Bunoza et al., ""MEĐUNARODNA ZAŠTITA - AZIL u praksi u Bosni i Hercegovini"", Udruženje Vaša Prava Bosne i Hercegovine, Sarajevo, 2016. V. Haubrich, E. Rechner i D. Bunoza, ""Elektronička komunikacija u parničnom postupku u Bosni i Hercegovini - modernizacija i usklađivanje s acquis communautarie"", Zbornik radova Aktualnosti građanskog i trgovačkog zakonodavstva i pravne prakse, Mostar, 2021. Viktorija Haubrich i Davor Bunoza ''Suradnja između sudova država članica u izvođenju dokaza u građanskim i trgovačkim predmetima (Uredba 2020/1783) –Bosna i Hercegovina u procesu europskih integracija'', Mostar 2023 Ilija Musa i Davor Bunoza ''UGLED I ČAST'' javnost, pravna regulacija i sudska praksa u Bosni i Hercegovini, Mostar 2024 Dodatne informacije Sudionik i predavač na mnogim seminarima na temu zaštite ljudskih prava, vjerskih sloboda, diskriminacije, pravičnog suđenja, medijskih sloboda, međunarodne zaštite i izbjegličkog prava Sudionik i predstavnik nevladinog sektora u implementaciji europskih standarda i EU pravne stečevine u pravne propise Bosne i Hercegovine koji se odnose na imigracije i azil",1925,True,325f70657019f56c87ba61ac9134c3c0
https://mpr.gov.ba/bs/zamjenik-ministra-pravde-bih,Zamjenik ministra pravde BiH,ostalo,,normal,sitemap,html,"Zamjenik ministra pravde BiH Elvir Mahmuzić, Zamjenik ministra pravde u Vijeću ministara Bosne i Hercegovine Kontakt Adresa: Trg BiH 3, Sarajevo 71000, Bosna i Hercegovina Telefon: + 387 33 281 506 Fax: + 387 33 201 034 Lični podaci Datum i mjesto rođenja: 20.09.1986. gоdinе, Tuzla, BiH Bračni status: oženjen, otac dvoje djece Obrazovanje VSS: Pravni fakultet u Tuzli, Univerzitet u Tuzli SSS: Gimnazija u Tuzli OŠ: Osnovna škola ""Jala"", Tuzla strani jezici: engleski, italijanski i njemački jezik. Profesionalna karijera pravni savjetnik u Javnom preduzeću „BIT Centar“ d.o.o., Tuzla 2011. – 2023. Politička karijera vijećnik u Općinskom vijeću Tuzla 2012. – 2016. član Komisije za statutarna pitanja i propise, Općinsko vijeća Tuzla 2012. – 2016. vijećnik u Gradskom vijeću Tuzla 2016. – 2020. predsjednik Komisije za statutarna pitanja i propise Gradskog vijeća Tuzla 2016. – 2020. predsjednik Komisije za statutarna pitanja i propise Gradskog vijeća Tuzla 2020. – danas. obnaša funkciju Sekretara za međunarodnu saradnju SDP BiH. Sekretar je Kantonalne organizacije SDP BiH Tuzla i član Glavnog odbora SDP BiH. Ostalo certifikat za položen kurs za informatičko-poslovno osposobljavanje certifikat za stečeno znanje i obavljenu praksu u okviru rada klimike izbjeličkog prava certifikat za obuku “Učešće građana i organizacija civilnog društva u donošenju odluka na lokalnom nivou” certifikat o završenom usavršavanju predsjednika i članova nadzornih odbora i uprava privrednih društava s učešćem državnog kapitala certifikat o obavljenoj edukaciji za akreditirane posmatrače izbora u Bosni i Hercegovini predstavnik BiH na takmičenju iz oblasti Međunarodnog javnog prava 2008. godine u Sjedinjenim Američkim Državama (Washington D.C), te dobitnik diplome od strane Asocijacije studenata međunarodnog prava. (ILSA - International Law Students Association).",1860,True,8efdd59f5cf9f897d575240de38cdafa
https://mpr.gov.ba/bs/sekretar-ministarstva-pravde-bih,Sekretar Ministarstva pravde BiH,ostalo,,normal,sitemap,html,"Sekretar Ministarstva pravde BiH Željko Bogut, Sekretar Ministarstva pravde BiH Kontakt Adresa: Trg BiH 3, Sarajevo 71000, Bosna i Hercegovina Telefon: + 387 33 281 508 Fax: + 387 33 201 036 Adresa: Trg BiH 3, Sarajevo 71000, Bosna i Hercegovina Telefon: + 387 33 281 508 Fax: + 387 33 201 036",293,True,86eaa0cd93591f480da8c4ac3ad43b11
https://mpr.gov.ba/bs/ured-interne-revizije,Ured interne revizije,kontakt_i_nadleznosti,,normal,sitemap,html,"Ured interne revizije Rukovoditelj interne revizije: Mirjana Palinić Adresa: Trg BiH 1, 71000 Sarajevo, Bosna i Hercegovina Telefon: + 387 33 281 625 E-mail: mirjana.palinic@mpr.gov.ba Nadležnosti obavljanje funkcije interne revizije sukladno Zakonu o internoj reviziji u institucijama Bosne i Hercegovine, Priručniku za internu reviziju sa standardima interne revizije u institucijama Bosne i Hercegovine i drugim podzakonskim aktima koje propiše Središnja harmonizacijska jedinica Ministarstva financija i trezora Bosne i Hercegovine (SHJ MFT); bavljanje funkcije interne revizije na temelju Povelje interne revizije i Sporazuma o obavljanju interne revizije, koje potpisuju rukovoditelj jedinice interne revizije i rukovoditelji institucija, na način kako je to propisano Odlukom o kriterijima za uspostavljanje jedinica interne revizije u institucijama Bosne i Hercegovine; izrada strateških, godišnjih i pojedinačnih revizorskih planova, koji se zasnivaju na procjeni rizika i na toj osnovi utvrđenim prioritetima koji osiguravaju efikasno i efektivno korištenje raspoloživih resursa; obavljanje interne revizije (planiranje i preliminarne aktivnosti, utvrđivanje i evidentiranje sustava/procesa/aktivnosti, procjena sustava internih kontrolora, testiranje internih kontrola, ocjena sustava internih kontrola – preporuke za poboljšanje sustava internih kontrola, izvješćivanje), praćenje provedbe preporuka, evidentiranje i dokumentiranje revizijskog procesa; iniciranje angažiranja potrebnih stručnjaka, suradnja s glavnim revizorom Ureda za reviziju institucija BiH ili zakonom imenovanim revizorom ili drugim stručnim revizorom u razmjeni izvješća, dokumentacije i mišljenja; izdavanje godišnjeg izvješća interne revizije i po potrebi periodičnih izvješća, suradnja sa SHJ MFT i internim revizorima u institucijama BiH i na drugim razinama vlasti radi unaprjeđenja rada i razmjene iskustava iz područja interne revizije; priprema planova obuke internih revizora, učinkovito korištenje resursa dodijeljenih Jedinici za obavljanje funkcije interne revizije, osiguranje visoke kvalitete aktivnosti interne revizije i primjena pravila izdanih od SHJ MFT; obavljanje drugih poslova shodno zakonskim i podzakonskim propisima kojima se uređuje područje interne revizije u Bosni i Hercegovini.",2293,True,0ca7efa3ef20e52026e1ee88c35fd9a7
